"Lat","Long","Month","Period","Offense","Season"
"36.839014"," -75.991204","JANUARY","AFTERNOON","ASSAULT","WINTER"
"36.900857"," -76.153952","FEBRUARY","MORNING","ASSAULT","WINTER"
"36.789416"," -76.152921","SEPTEMBER","AFTERNOON","ASSAULT","FALL"
"36.865187"," -76.179135","JUNE","NIGHT","ASSAULT","SUMMER"
"36.773292"," -76.182688","MAY","NIGHT","ASSAULT","SPRING"
"36.864993"," -76.166253","JANUARY","AFTERNOON","ASSAULT","WINTER"
"36.786637"," -76.149752","FEBRUARY","NIGHT","ASSAULT","WINTER"
"36.772089"," -76.085936","SEPTEMBER","MORNING","ASSAULT","FALL"
"36.84542"," -76.048044","JANUARY","NIGHT","ASSAULT","WINTER"
"36.816919"," -76.100785","AUGUST","EVENING","ASSAULT","SUMMER"
"36.730604"," -76.081225","MARCH","NIGHT","ASSAULT","SPRING"
"36.8401"," -76.059099","MARCH","NIGHT","ASSAULT","SPRING"
"36.831953"," -76.082841","SEPTEMBER","NIGHT","ASSAULT","FALL"
"36.849204"," -75.975617","MAY","NIGHT","ASSAULT","SPRING"
"36.899326"," -76.176545","MARCH","MORNING","ASSAULT","SPRING"
"36.816472"," -76.078174","APRIL","NIGHT","ASSAULT","SPRING"
"36.77456"," -76.103224","FEBRUARY","MORNING","ASSAULT","WINTER"
"36.808724"," -76.176371","AUGUST","MORNING","ASSAULT","SUMMER"
"36.826832"," -76.075474","DECEMBER","NIGHT","ASSAULT","WINTER"
"36.827668"," -76.084075","JANUARY","NIGHT","ASSAULT","WINTER"
"36.815435"," -76.075403","JUNE","NIGHT","ASSAULT","SUMMER"
"36.814769"," -76.127383","JULY","MORNING","ASSAULT","SUMMER"
"36.841614"," -75.97323","JULY","NIGHT","ASSAULT","SUMMER"
"36.896229"," -76.149488","NOVEMBER","NIGHT","ASSAULT","FALL"
"36.844505"," -75.983154","SEPTEMBER","NIGHT","ASSAULT","FALL"
"36.816679"," -76.118997","OCTOBER","AFTERNOON","ASSAULT","FALL"
"36.800458"," -76.205629","NOVEMBER","AFTERNOON","ASSAULT","FALL"
"36.850228"," -75.975593","JUNE","NIGHT","ASSAULT","SUMMER"
"36.858874"," -76.030459","JULY","NIGHT","ASSAULT","SUMMER"
"36.819398"," -76.109142","FEBRUARY","AFTERNOON","ASSAULT","WINTER"
"36.795479"," -76.135825","AUGUST","MORNING","ASSAULT","SUMMER"
"36.842029"," -75.993452","NOVEMBER","AFTERNOON","ASSAULT","FALL"
"36.85429"," -76.132384","AUGUST","EVENING","ASSAULT","SUMMER"
"36.860847"," -76.124623","DECEMBER","AFTERNOON","ASSAULT","WINTER"
"36.85332"," -76.027666","MARCH","EVENING","ASSAULT","SPRING"
"36.835309"," -76.115634","NOVEMBER","AFTERNOON","ASSAULT","FALL"
"36.845871"," -76.139752","JULY","AFTERNOON","ASSAULT","SUMMER"
"36.857707"," -75.987768","MAY","NIGHT","ASSAULT","SPRING"
"36.844639"," -76.077852","AUGUST","NIGHT","ASSAULT","SUMMER"
"36.852707"," -76.038024","MAY","NIGHT","ASSAULT","SPRING"
"36.637735"," -76.002901","JUNE","AFTERNOON","ASSAULT","SUMMER"
"36.838612"," -76.110755","FEBRUARY","AFTERNOON","ASSAULT","WINTER"
"36.85353"," -76.03462","JUNE","AFTERNOON","ASSAULT","SUMMER"
"36.784717"," -76.185345","JULY","MORNING","ASSAULT","SUMMER"
"36.837618"," -76.184676","MAY","MORNING","ASSAULT","SPRING"
"36.820357"," -76.116257","MARCH","NIGHT","ASSAULT","SPRING"
"36.781623"," -76.129622","MAY","NIGHT","ASSAULT","SPRING"
"36.804342"," -76.202679","AUGUST","EVENING","ASSAULT","SUMMER"
"36.823097"," -76.114341","DECEMBER","NIGHT","ASSAULT","WINTER"
"36.832989"," -76.150284","JUNE","EVENING","ASSAULT","SUMMER"
"36.781968"," -76.150663","NOVEMBER","MORNING","ASSAULT","FALL"
"36.859519"," -76.17524","APRIL","AFTERNOON","ASSAULT","SPRING"
"36.735582"," -76.033605","DECEMBER","EVENING","ASSAULT","WINTER"
"36.863019"," -76.129872","AUGUST","NIGHT","ASSAULT","SUMMER"
"36.77393"," -76.176412","MARCH","MORNING","ASSAULT","SPRING"
"36.786255"," -76.149768","JULY","AFTERNOON","ASSAULT","SUMMER"
"36.914615"," -76.120499","APRIL","NIGHT","ASSAULT","SPRING"
"36.744083"," -76.072891","AUGUST","MORNING","ASSAULT","SUMMER"
"36.822845"," -75.970765","JULY","NIGHT","ASSAULT","SUMMER"
"36.847559"," -75.976213","JUNE","NIGHT","ASSAULT","SUMMER"
"36.808628"," -75.979424","JUNE","MORNING","ASSAULT","SUMMER"
"36.882852"," -76.126795","JANUARY","AFTERNOON","ASSAULT","WINTER"
"36.839679"," -75.994439","NOVEMBER","NIGHT","ASSAULT","FALL"
"36.862274"," -76.031903","JANUARY","EVENING","ASSAULT","WINTER"
"36.786013"," -75.999206","DECEMBER","AFTERNOON","ASSAULT","WINTER"
"36.755445"," -76.007265","JANUARY","AFTERNOON","ASSAULT","WINTER"
"36.811636"," -75.993618","MAY","MORNING","ASSAULT","SPRING"
"36.811247"," -76.072651","MAY","NIGHT","ASSAULT","SPRING"
"36.849742"," -76.135736","JULY","MORNING","ASSAULT","SUMMER"
"36.803725"," -76.102694","MAY","NIGHT","ASSAULT","SPRING"
"36.852247"," -75.977501","JUNE","NIGHT","ASSAULT","SUMMER"
"36.848877"," -76.052855","NOVEMBER","AFTERNOON","ASSAULT","FALL"
"36.845206"," -76.084992","AUGUST","AFTERNOON","ASSAULT","SUMMER"
"36.811994"," -76.171935","NOVEMBER","AFTERNOON","ASSAULT","FALL"
"36.848417"," -76.052678","AUGUST","EVENING","ASSAULT","SUMMER"
"36.83901"," -75.983182","JANUARY","NIGHT","ASSAULT","WINTER"
"36.828874"," -76.148247","AUGUST","NIGHT","ASSAULT","SUMMER"
"36.83891"," -75.995264","MARCH","NIGHT","ASSAULT","SPRING"
"36.833758"," -76.117919","DECEMBER","AFTERNOON","ASSAULT","WINTER"
"36.794777"," -76.09028","SEPTEMBER","MORNING","ASSAULT","FALL"
"36.808724"," -76.176371","AUGUST","NIGHT","ASSAULT","SUMMER"
"36.762791"," -76.053822","JULY","NIGHT","ASSAULT","SUMMER"
"36.849285"," -76.179752","OCTOBER","NIGHT","ASSAULT","FALL"
"36.825148"," -76.157757","JANUARY","EVENING","ASSAULT","WINTER"
"36.913832"," -76.122263","DECEMBER","MORNING","ASSAULT","WINTER"
"36.834799"," -76.115299","FEBRUARY","NIGHT","ASSAULT","WINTER"
"36.817478"," -76.117189","DECEMBER","NIGHT","ASSAULT","WINTER"
"36.788516"," -76.105078","JUNE","AFTERNOON","ASSAULT","SUMMER"
"36.849479"," -75.975392","DECEMBER","NIGHT","ASSAULT","WINTER"
"36.828632"," -76.134522","JUNE","EVENING","ASSAULT","SUMMER"
"36.822893"," -76.141477","MARCH","EVENING","ASSAULT","SPRING"
"36.811512"," -76.107058","JUNE","NIGHT","ASSAULT","SUMMER"
"36.802293"," -76.073208","FEBRUARY","NIGHT","ASSAULT","WINTER"
"36.840445"," -75.993965","DECEMBER","NIGHT","ASSAULT","WINTER"
"36.852007"," -76.171773","MAY","AFTERNOON","ASSAULT","SPRING"
"36.847204"," -76.006919","MAY","MORNING","ASSAULT","SPRING"
"36.78021"," -75.977872","NOVEMBER","NIGHT","ASSAULT","FALL"
"36.84599"," -76.040693","MARCH","AFTERNOON","ASSAULT","SPRING"
"36.70211"," -75.928694","OCTOBER","NIGHT","ASSAULT","FALL"
"36.8204"," -76.117139","APRIL","EVENING","ASSAULT","SPRING"
"36.839679"," -75.994439","JUNE","NIGHT","ASSAULT","SUMMER"
"36.800953"," -76.181782","AUGUST","MORNING","ASSAULT","SUMMER"
"36.797212"," -76.161636","SEPTEMBER","NIGHT","ASSAULT","FALL"
"36.882286"," -76.185245","OCTOBER","NIGHT","ASSAULT","FALL"
"36.840421"," -75.996544","JANUARY","EVENING","ASSAULT","WINTER"
"36.856547"," -76.177085","MARCH","AFTERNOON","ASSAULT","SPRING"
"36.784458"," -76.108918","JANUARY","NIGHT","ASSAULT","WINTER"
"36.840796"," -76.095958","MAY","NIGHT","ASSAULT","SPRING"
"36.807278"," -76.083413","DECEMBER","AFTERNOON","ASSAULT","WINTER"
"36.777219"," -76.003337","FEBRUARY","AFTERNOON","ASSAULT","WINTER"
"36.885151"," -76.196203","NOVEMBER","AFTERNOON","ASSAULT","FALL"
"36.753767"," -76.033805","MARCH","NIGHT","ASSAULT","SPRING"
"36.848954"," -75.977039","JULY","NIGHT","ASSAULT","SUMMER"
"36.908498"," -76.141489","DECEMBER","MORNING","ASSAULT","WINTER"
"36.879036"," -76.157253","JULY","NIGHT","ASSAULT","SUMMER"
"36.789239"," -76.15441","SEPTEMBER","EVENING","ASSAULT","FALL"
"36.799429"," -76.08045","NOVEMBER","NIGHT","ASSAULT","FALL"
"36.756871"," -76.131881","APRIL","EVENING","ASSAULT","SPRING"
"36.90634"," -76.17051","AUGUST","MORNING","ASSAULT","SUMMER"
"36.870644"," -76.161832","FEBRUARY","NIGHT","ASSAULT","WINTER"
"36.830692"," -76.056668","JUNE","AFTERNOON","ASSAULT","SUMMER"
"36.776804"," -76.153861","NOVEMBER","NIGHT","ASSAULT","FALL"
"36.800338"," -76.127173","JANUARY","EVENING","ASSAULT","WINTER"
"36.827394"," -76.079798","APRIL","NIGHT","ASSAULT","SPRING"
"36.851485"," -75.975941","JULY","NIGHT","ASSAULT","SUMMER"
"36.788644"," -76.169642","MAY","NIGHT","ASSAULT","SPRING"
"36.843743"," -76.142357","APRIL","NIGHT","ASSAULT","SPRING"
"36.78911"," -76.095314","APRIL","NIGHT","ASSAULT","SPRING"
"36.839576"," -75.972681","APRIL","MORNING","ASSAULT","SPRING"
"36.801544"," -76.187037","MARCH","NIGHT","ASSAULT","SPRING"
"36.867301"," -76.051112","JUNE","NIGHT","ASSAULT","SUMMER"
"36.839706"," -75.974028","JANUARY","MORNING","ASSAULT","WINTER"
"36.905091"," -76.097027","JANUARY","NIGHT","ASSAULT","WINTER"
"36.794524"," -76.100672","JULY","EVENING","ASSAULT","SUMMER"
"36.867232"," -76.173445","NOVEMBER","NIGHT","ASSAULT","FALL"
"36.855242"," -76.169041","JUNE","EVENING","ASSAULT","SUMMER"
"36.747002"," -76.061446","SEPTEMBER","MORNING","ASSAULT","FALL"
"36.754592"," -76.058612","AUGUST","NIGHT","ASSAULT","SUMMER"
"36.865785"," -76.180483","MARCH","EVENING","ASSAULT","SPRING"
"36.809749"," -76.095557","DECEMBER","EVENING","ASSAULT","WINTER"
"36.847968"," -76.113051","DECEMBER","NIGHT","ASSAULT","WINTER"
"36.774345"," -76.005282","APRIL","EVENING","ASSAULT","SPRING"
"36.852159"," -76.127837","JANUARY","EVENING","ASSAULT","WINTER"
"36.831402"," -76.049517","JULY","AFTERNOON","ASSAULT","SUMMER"
"36.852247"," -75.977501","DECEMBER","NIGHT","ASSAULT","WINTER"
"36.807728"," -75.990703","OCTOBER","NIGHT","ASSAULT","FALL"
"36.77496"," -76.075514","MAY","NIGHT","ASSAULT","SPRING"
"36.843585"," -76.131499","MARCH","NIGHT","ASSAULT","SPRING"
"36.866896"," -76.175105","MAY","NIGHT","ASSAULT","SPRING"
"36.771769"," -76.186531","JUNE","AFTERNOON","ASSAULT","SUMMER"
"36.798379"," -76.092038","JANUARY","NIGHT","ASSAULT","WINTER"
"36.847243"," -76.025839","JULY","NIGHT","ASSAULT","SUMMER"
"36.861813"," -76.132232","APRIL","NIGHT","ASSAULT","SPRING"
"36.85311"," -76.146514","AUGUST","NIGHT","ASSAULT","SUMMER"
"36.847559"," -75.976213","APRIL","NIGHT","ASSAULT","SPRING"
"36.797315"," -76.01053","MAY","MORNING","ASSAULT","SPRING"
"36.800733"," -76.081581","SEPTEMBER","MORNING","ASSAULT","FALL"
"36.856641"," -76.170668","MAY","AFTERNOON","ASSAULT","SPRING"
"36.77456"," -76.103224","MARCH","MORNING","ASSAULT","SPRING"
"36.809619"," -76.204639","DECEMBER","MORNING","ASSAULT","WINTER"
"36.871387"," -76.177639","MARCH","NIGHT","ASSAULT","SPRING"
"36.905633"," -76.144551","JANUARY","EVENING","ASSAULT","WINTER"
"36.852482"," -75.989029","OCTOBER","AFTERNOON","ASSAULT","FALL"
"36.861525"," -76.027125","MAY","NIGHT","ASSAULT","SPRING"
"36.786768"," -76.149813","OCTOBER","NIGHT","ASSAULT","FALL"
"36.789465"," -76.181451","FEBRUARY","MORNING","ASSAULT","WINTER"
"36.848258"," -75.975055","AUGUST","EVENING","ASSAULT","SUMMER"
"36.845368"," -75.992872","DECEMBER","NIGHT","ASSAULT","WINTER"
"36.906109"," -76.099279","APRIL","NIGHT","ASSAULT","SPRING"
"36.808111"," -76.100721","NOVEMBER","AFTERNOON","ASSAULT","FALL"
"36.853051"," -76.036751","SEPTEMBER","NIGHT","ASSAULT","FALL"
"36.806369"," -76.075578","MAY","NIGHT","ASSAULT","SPRING"
