Lat,Long,Month,Period,Offense,Season
36.862885,-76.134447,JUNE,EVENING,LARCENY,SUMMER
36.862885,-76.134447,JUNE,NIGHT,DESTRUCTION OF PROPERTY,SUMMER
36.862885,-76.134447,JULY,AFTERNOON,ASSAULT,SUMMER
36.862885,-76.134447,JUNE,NIGHT,LARCENY,SUMMER
36.862885,-76.134447,MAY,NIGHT,DESTRUCTION OF PROPERTY,SPRING
36.862885,-76.134447,JANUARY,MORNING,LARCENY,WINTER
36.780545,-76.134464,NOVEMBER,MORNING,DESTRUCTION OF PROPERTY,FALL
36.780545,-76.134464,AUGUST,AFTERNOON,DESTRUCTION OF PROPERTY,SUMMER
36.860999,-76.1345,MARCH,NIGHT,LARCENY,SPRING
36.860999,-76.1345,SEPTEMBER,MORNING,ASSAULT,FALL
36.860999,-76.1345,AUGUST,NIGHT,LARCENY,SUMMER
36.860999,-76.1345,DECEMBER,MORNING,FRAUD,WINTER
36.860999,-76.1345,APRIL,AFTERNOON,HIT & RUN,SPRING
36.860999,-76.1345,FEBRUARY,EVENING,DESTRUCTION OF PROPERTY,WINTER
36.860999,-76.1345,MARCH,EVENING,LARCENY,SPRING
36.860999,-76.1345,NOVEMBER,EVENING,LARCENY,FALL
36.860999,-76.1345,MAY,MORNING,FRAUD,SPRING
36.860999,-76.1345,NOVEMBER,MORNING,FRAUD,FALL
36.860999,-76.1345,NOVEMBER,NIGHT,LARCENY,FALL
36.860999,-76.1345,APRIL,AFTERNOON,LARCENY,SPRING
36.860999,-76.1345,APRIL,NIGHT,ASSAULT,SPRING
36.860999,-76.1345,SEPTEMBER,NIGHT,ASSAULT,FALL
36.860999,-76.1345,MARCH,EVENING,DESTRUCTION OF PROPERTY,SPRING
36.860999,-76.1345,JUNE,NIGHT,FRAUD,SUMMER
36.860999,-76.1345,JUNE,MORNING,DESTRUCTION OF PROPERTY,SUMMER
36.860999,-76.1345,JULY,NIGHT,ASSAULT,SUMMER
36.860999,-76.1345,MARCH,NIGHT,DESTRUCTION OF PROPERTY,SPRING
36.860999,-76.1345,JUNE,AFTERNOON,ASSAULT,SUMMER
36.828632,-76.134522,JUNE,AFTERNOON,ASSAULT,SUMMER
36.828632,-76.134522,OCTOBER,NIGHT,HIT & RUN,FALL
